polarity,tau,depth_m,radius_m,radius_over_R,divF_tilted,divF_jacobian,divF_jacobian_correction,divF_christoffel_qg_approx,divF_curved_total,divF_curved_tube_qg_approx,divF_scale_upper_bound,metric_valid_fraction,metric_invalid_or_large_curvature
anticyclonic,0.5,0.5057600140571594,2604.3822167148437,0.03125,6.877122153026902e-07,6.877122153026902e-07,0.0,1.0560161204217613e-09,6.88768231423112e-07,6.877122153026902e-07,6.466336454682486e-09,1.0,False
anticyclonic,0.5,0.5057600140571594,7813.146650144531,0.09375,0.007511821420922612,0.007511821420922612,0.0,5.6780709263937666e-09,0.007511827098993539,0.007511821420922612,3.476870884219899e-08,1.0,False
anticyclonic,0.5,0.5057600140571594,13021.911083574218,0.15625,0.015268878029324704,0.015268878029324704,0.0,1.8462460195965765e-08,0.0152688964917849,0.015268878029324704,1.1305175849078602e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,18230.675517003907,0.21875,0.023360636588964992,0.023360636588964992,0.0,3.8744733628736124e-08,0.02336067533369862,0.023360636588964992,2.3724683614715775e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,23439.439950433592,0.28125,0.03133974747203647,0.03133974747203647,0.0,6.479936435463734e-08,0.03133981227140082,0.03133974747203647,3.9678796929661875e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,28648.20438386328,0.34375,0.0390588270973954,0.0390588270973954,0.0,9.792043922323161e-08,0.039058925017834624,0.0390588270973954,5.995992803166826e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,33856.96881729297,0.40625,0.04620755712434211,0.04620755712434211,0.0,1.2408595645319454e-07,0.046207681210298564,0.04620755712434211,7.598194082557878e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,39065.73325072265,0.46874999999999994,0.052674366093020994,0.052674366093020994,0.0,1.3776467600319978e-07,0.052674503857696994,0.052674366093020994,8.43578738410947e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,44274.497684152346,0.53125,0.05819581217774435,0.058195812177744374,2.7755575615628914e-17,1.3709948403225415e-07,0.058195949277228404,0.05819581217774435,8.395055476632813e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,49483.26211758203,0.59375,0.06167311496891838,0.06167311496891838,0.0,1.2853576054345375e-07,0.06167324350467892,0.06167311496891838,7.870670324620796e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,54692.02655101172,0.65625,0.06338673691491635,0.0633867369149164,5.551115123125783e-17,1.2405266109276154e-07,0.0633868609675775,0.06338673691491635,7.596155297365339e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,59900.7909844414,0.71875,0.06362924978921254,0.06362924978921254,0.0,1.2295169433538164e-07,0.06362937274090688,0.06362924978921254,7.52873945644242e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,65109.555417871095,0.78125,0.0624591367200469,0.06245913672004693,2.7755575615628914e-17,1.1368008360514675e-07,0.062459250400130534,0.0624591367200469,6.961008024136268e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,70318.31985130078,0.84375,0.059358944355381436,0.059358944355381464,2.7755575615628914e-17,1.0807164585808155e-07,0.059359052427027326,0.059358944355381436,6.617584805907547e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,75527.08428473047,0.9062500000000001,0.05290054958495001,0.05290054958495001,0.0,1.3462553793214522e-07,0.05290068421048794,0.05290054958495001,8.243567563288604e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,80735.84871816015,0.96875,0.04427487532739211,0.04427487532739217,5.551115123125783e-17,1.683570116157813e-07,0.044275043684403784,0.04427487532739211,1.0309057414556636e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,85944.61315158985,1.03125,0.03238902753817922,0.032389027538179245,2.7755575615628914e-17,2.111268267847792e-07,0.03238923866500603,0.03238902753817922,1.2927994849686569e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,91153.37758501952,1.09375,0.019055927420963025,0.01905592742096304,1.3877787807814457e-17,2.562441524401908e-07,0.01905618366511548,0.019055927420963025,1.5690678126783231e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,96362.14201844922,1.15625,-0.00043632271242727267,-0.0004363227124272731,-4.336808689942018e-19,3.3649980863821854e-07,-0.0004359862126186349,-0.00043632271242727267,2.0604997760090574e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,101570.90645187891,1.21875,-0.015007581690911959,-0.01500758169091197,-1.214306433183765e-17,2.4010208262779067e-07,-0.015007341588829343,-0.015007581690911959,1.4702245730123754e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,106779.67088530859,1.28125,-0.025275388889694328,-0.025275388889694342,-1.3877787807814457e-17,6.48839551948985e-08,-0.025275324005739147,-0.025275388889694328,3.973059470277679e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,111988.43531873828,1.34375,-0.034902368340896384,-0.03490236834089641,-2.7755575615628914e-17,-1.5733849555488226e-07,-0.03490252567939196,-0.034902368340896384,-9.634357183156385e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,117197.19975216797,1.40625,-0.0448119693410713,-0.044811969341071324,-2.0816681711721685e-17,-4.368423440920652e-07,-0.044812406183415414,-0.0448119693410713,-2.67493035373673e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,122405.96418559765,1.46875,-0.05474211153611636,-0.05474211153611644,-7.632783294297951e-17,-7.154230340487543e-07,-0.05474282695915049,-0.05474211153611636,-4.380772183422133e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,127614.72861902734,1.53125,-0.06560536030075104,-0.06560536030075113,-9.71445146547012e-17,-9.875929207533486e-07,-0.06560634789367188,-0.06560536030075104,-6.0473585415563424e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,132823.49305245702,1.59375,-0.07547021503870856,-0.07547021503870861,-5.551115123125783e-17,-1.2382587288697547e-06,-0.07547145329743749,-0.07547021503870856,-7.582268304409391e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,138032.25748588672,1.65625,-0.08670902029994595,-0.08670902029994611,-1.5265566588595902e-16,-1.4201507016249892e-06,-0.08671044045064773,-0.08670902029994595,-8.696053095660053e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,143241.0219193164,1.71875,-0.09699711135899486,-0.09699711135899501,-1.5265566588595902e-16,-1.5779403581104845e-06,-0.09699868929935312,-0.09699711135899486,-9.662251421776968e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,148449.7863527461,1.7812500000000002,-0.10760571876433471,-0.10760571876433486,-1.5265566588595902e-16,-1.7021522741986488e-06,-0.10760742091660906,-0.10760571876433471,-1.0422842122595125e-05,1.0,False
anticyclonic,0.5,0.5057600140571594,153658.55078617577,1.8437499999999998,-0.11723830224822938,-0.11723830224822954,-1.5265566588595902e-16,-1.7267905321490883e-06,-0.11724002903876168,-0.11723830224822938,-1.0573710336142061e-05,1.0,False
anticyclonic,0.5,0.5057600140571594,158867.31521960546,1.90625,-0.12706684411401142,-0.12706684411401162,-1.942890293094024e-16,-1.6184398123840134e-06,-0.127068462553824,-0.12706684411401142,-9.910242993590356e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,164076.07965303515,1.96875,-0.13571716638491915,-0.13571716638491937,-2.220446049250313e-16,-1.4438252868259523e-06,-0.1357186102102062,-0.13571716638491915,-8.84102042179645e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,169284.84408646484,2.03125,-0.143148437225154,-0.1431484372251541,-1.1102230246251565e-16,-1.1358292590039969e-06,-0.14314957305441312,-0.143148437225154,-6.9550587360912305e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,174493.60851989454,2.09375,-0.15045377766669044,-0.15045377766669066,-2.220446049250313e-16,-7.851499105690615e-07,-0.15045456281660122,-0.15045377766669044,-4.8077329416862505e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,179702.37295332423,2.15625,-0.15762081734880629,-0.1576208173488065,-2.220446049250313e-16,-3.4404802927513616e-07,-0.1576211613968358,-0.15762081734880629,-2.1067200309167125e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,184911.1373867539,2.21875,-0.16241199205542517,-0.1624119920554254,-2.220446049250313e-16,1.316436193962772e-07,-0.162411860411806,-0.16241199205542517,8.060974815313547e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,190119.9018201836,2.28125,-0.16737051431367805,-0.16737051431367825,-1.942890293094024e-16,6.832881415630288e-07,-0.16736983102553668,-0.16737051431367805,4.183999593752992e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,195328.66625361328,2.34375,-0.1705901009248395,-0.17059010092483973,-2.220446049250313e-16,1.2659087043073381e-06,-0.17058883501613542,-0.1705901009248395,7.751578261601816e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,200537.43068704297,2.40625,-0.1773567221237377,-0.17735672212373793,-2.220446049250313e-16,1.866212442013975e-06,-0.1773548559112959,-0.1773567221237377,1.1427436866358953e-05,1.0,False
anticyclonic,0.5,0.5057600140571594,205746.19512047266,2.46875,-0.18239010540732586,-0.1823901054073261,-2.220446049250313e-16,2.361265727086705e-06,-0.182387744141599,-0.18239010540732586,1.4458812091007604e-05,1.0,False
anticyclonic,0.5,1.5558552742004395,2604.3822167148437,0.03125,1.565538312254254e-06,1.565538312254254e-06,0.0,4.6681622329966104e-08,1.6122199345842201e-06,1.565538312254254e-06,2.5432959051186883e-08,1.0,False
anticyclonic,0.5,1.5558552742004395,7813.146650144531,0.09375,0.010319911615888844,0.010319911615888844,0.0,1.8872113260149386e-07,0.010320100337021446,0.010319911615888844,1.0281855252631894e-07,1.0,False
anticyclonic,0.5,1.5558552742004395,13021.911083574218,0.15625,0.020820601259005037,0.020820601259005037,0.0,4.5741195741062825e-07,0.02082105867096245,0.020820601259005037,2.492059830337133e-07,1.0,False
anticyclonic,0.5,1.5558552742004395,18230.675517003907,0.21875,0.03156079745910463,0.03156079745910464,6.938893903907228e-18,8.05254474089654e-07,0.031561602713578725,0.03156079745910463,4.387166307234479e-07,0.0,True
anticyclonic,0.5,1.5558552742004395,23439.439950433592,0.28125,0.0422104164548032,0.04221041645480321,6.938893903907228e-18,1.2656907386854623e-06,0.0422116821455419,0.0422104164548032,6.895703088662817e-07,0.0,True
anticyclonic,0.5,1.5558552742004395,28648.20438386328,0.34375,0.05256221198845479,0.052562211988454795,6.938893903907228e-18,1.9637727883917016e-06,0.052564175761243184,0.05256221198845479,1.069897540406186e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,33856.96881729297,0.40625,0.06218022792189722,0.06218022792189723,6.938893903907228e-18,2.6780597248777127e-06,0.06218290598162211,0.06218022792189722,1.459053475862717e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,39065.73325072265,0.46874999999999994,0.0706388586140071,0.07063885861400711,1.3877787807814457e-17,3.2925748360641062e-06,0.07064215118884318,0.0706388586140071,1.7938519871198224e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,44274.497684152346,0.53125,0.0776534671098688,0.07765346710986883,2.7755575615628914e-17,3.614317090636094e-06,0.07765708142695946,0.0776534671098688,1.969142758458614e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,49483.26211758203,0.59375,0.08233124243937483,0.08233124243937484,1.3877787807814457e-17,3.894344186187758e-06,0.08233513678356102,0.08233124243937483,2.1217063862615943e-06,0.0,True
