polarity,tau,depth_m,radius_m,radius_over_R,divF_tilted,divF_jacobian,divF_jacobian_correction,divF_christoffel_qg_approx,divF_curved_total,divF_curved_tube_qg_approx,divF_scale_upper_bound,metric_valid_fraction,metric_invalid_or_large_curvature
anticyclonic,0.5,0.5057600140571594,2604.3822167148437,0.03125,6.877122153026902e-07,6.877122153026902e-07,0.0,1.0560161204217613e-09,6.88768231423112e-07,6.877122153026902e-07,6.466336454682486e-09,1.0,False
anticyclonic,0.5,0.5057600140571594,7813.146650144531,0.09375,0.0075118214209226545,0.0075118214209226545,0.0,5.6780709263937666e-09,0.007511827098993581,0.0075118214209226545,3.476870884219899e-08,1.0,False
anticyclonic,0.5,0.5057600140571594,13021.911083574218,0.15625,0.015268878029325002,0.015268878029325002,0.0,1.8462460195965765e-08,0.015268896491785198,0.015268878029325002,1.1305175849078602e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,18230.675517003907,0.21875,0.023360636588964662,0.023360636588964662,0.0,3.8744733628736124e-08,0.023360675333698292,0.023360636588964662,2.3724683614715775e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,23439.439950433592,0.28125,0.031339747472036675,0.031339747472036675,0.0,6.479936435463734e-08,0.03133981227140103,0.031339747472036675,3.9678796929661875e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,28648.20438386328,0.34375,0.03905882709739585,0.03905882709739585,0.0,9.792043922323161e-08,0.039058925017835075,0.03905882709739585,5.995992803166826e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,33856.96881729297,0.40625,0.0462075571243423,0.0462075571243423,0.0,1.2408595645319454e-07,0.04620768121029875,0.0462075571243423,7.598194082557878e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,39065.73325072265,0.46874999999999994,0.05267436609302107,0.05267436609302107,0.0,1.3776467600319978e-07,0.05267450385769707,0.05267436609302107,8.43578738410947e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,44274.497684152346,0.53125,0.058195812177744215,0.05819581217774424,2.7755575615628914e-17,1.3709948403225415e-07,0.05819594927722827,0.058195812177744215,8.395055476632813e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,49483.26211758203,0.59375,0.06167311496891816,0.06167311496891816,0.0,1.2853576054345375e-07,0.061673243504678704,0.06167311496891816,7.870670324620796e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,54692.02655101172,0.65625,0.06338673691491631,0.06338673691491635,4.163336342344337e-17,1.2405266109276154e-07,0.06338686096757744,0.06338673691491631,7.596155297365339e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,59900.7909844414,0.71875,0.06362924978921249,0.06362924978921249,0.0,1.2295169433538164e-07,0.06362937274090683,0.06362924978921249,7.52873945644242e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,65109.555417871095,0.78125,0.062459136720046986,0.062459136720047014,2.7755575615628914e-17,1.1368008360514675e-07,0.06245925040013062,0.062459136720046986,6.961008024136268e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,70318.31985130078,0.84375,0.05935894435538138,0.05935894435538141,2.7755575615628914e-17,1.0807164585808155e-07,0.05935905242702727,0.05935894435538138,6.617584805907547e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,75527.08428473047,0.9062500000000001,0.05290054958495006,0.05290054958495006,0.0,1.3462553793214522e-07,0.05290068421048799,0.05290054958495006,8.243567563288604e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,80735.84871816015,0.96875,0.044274875327392244,0.0442748753273923,5.551115123125783e-17,1.683570116157813e-07,0.044275043684403916,0.044274875327392244,1.0309057414556636e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,85944.61315158985,1.03125,0.032389027538179536,0.032389027538179564,2.7755575615628914e-17,2.111268267847792e-07,0.03238923866500635,0.032389027538179536,1.2927994849686569e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,91153.37758501952,1.09375,0.0190559274209636,0.019055927420963615,1.3877787807814457e-17,2.562441524401908e-07,0.019056183665116057,0.0190559274209636,1.5690678126783231e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,96362.14201844922,1.15625,-0.00043632271242683676,-0.0004363227124268372,-4.336808689942018e-19,3.3649980863821854e-07,-0.000435986212618199,-0.00043632271242683676,2.0604997760090574e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,101570.90645187891,1.21875,-0.015007581690911653,-0.015007581690911667,-1.3877787807814457e-17,2.4010208262779067e-07,-0.01500734158882904,-0.015007581690911653,1.4702245730123754e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,106779.67088530859,1.28125,-0.025275388889694106,-0.025275388889694116,-1.0408340855860843e-17,6.48839551948985e-08,-0.02527532400573892,-0.025275388889694106,3.973059470277679e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,111988.43531873828,1.34375,-0.034902368340896314,-0.03490236834089634,-2.7755575615628914e-17,-1.5733849555488226e-07,-0.034902525679391894,-0.034902368340896314,-9.634357183156385e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,117197.19975216797,1.40625,-0.044811969341071164,-0.04481196934107119,-2.7755575615628914e-17,-4.368423440920652e-07,-0.04481240618341528,-0.044811969341071164,-2.67493035373673e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,122405.96418559765,1.46875,-0.05474211153611626,-0.054742111536116335,-7.632783294297951e-17,-7.154230340487543e-07,-0.054742826959150385,-0.05474211153611626,-4.380772183422133e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,127614.72861902734,1.53125,-0.06560536030075105,-0.06560536030075116,-1.1102230246251565e-16,-9.875929207533486e-07,-0.06560634789367191,-0.06560536030075105,-6.0473585415563424e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,132823.49305245702,1.59375,-0.07547021503870888,-0.07547021503870893,-5.551115123125783e-17,-1.2382587288697547e-06,-0.0754714532974378,-0.07547021503870888,-7.582268304409391e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,138032.25748588672,1.65625,-0.08670902029994643,-0.0867090202999466,-1.6653345369377348e-16,-1.4201507016249892e-06,-0.08671044045064821,-0.08670902029994643,-8.696053095660053e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,143241.0219193164,1.71875,-0.09699711135899518,-0.09699711135899533,-1.5265566588595902e-16,-1.5779403581104845e-06,-0.09699868929935344,-0.09699711135899518,-9.662251421776968e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,148449.7863527461,1.7812500000000002,-0.10760571876433556,-0.10760571876433571,-1.5265566588595902e-16,-1.7021522741986488e-06,-0.10760742091660991,-0.10760571876433556,-1.0422842122595125e-05,1.0,False
anticyclonic,0.5,0.5057600140571594,153658.55078617577,1.8437499999999998,-0.11723830224823087,-0.11723830224823102,-1.5265566588595902e-16,-1.7267905321490883e-06,-0.11724002903876317,-0.11723830224823087,-1.0573710336142061e-05,1.0,False
anticyclonic,0.5,0.5057600140571594,158867.31521960546,1.90625,-0.12706684411401442,-0.12706684411401464,-2.220446049250313e-16,-1.6184398123840134e-06,-0.12706846255382703,-0.12706684411401442,-9.910242993590356e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,164076.07965303515,1.96875,-0.13571716638492176,-0.13571716638492196,-1.942890293094024e-16,-1.4438252868259523e-06,-0.13571861021020878,-0.13571716638492176,-8.84102042179645e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,169284.84408646484,2.03125,-0.1431484372251575,-0.1431484372251576,-1.1102230246251565e-16,-1.1358292590039969e-06,-0.1431495730544166,-0.1431484372251575,-6.9550587360912305e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,174493.60851989454,2.09375,-0.1504537776666934,-0.1504537776666936,-1.942890293094024e-16,-7.851499105690615e-07,-0.15045456281660416,-0.1504537776666934,-4.8077329416862505e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,179702.37295332423,2.15625,-0.15762081734880884,-0.15762081734880903,-1.942890293094024e-16,-3.4404802927513616e-07,-0.15762116139683832,-0.15762081734880884,-2.1067200309167125e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,184911.1373867539,2.21875,-0.1624119920554278,-0.16241199205542803,-2.220446049250313e-16,1.316436193962772e-07,-0.16241186041180863,-0.1624119920554278,8.060974815313547e-07,1.0,False
anticyclonic,0.5,0.5057600140571594,190119.9018201836,2.28125,-0.16737051431367994,-0.16737051431368016,-2.220446049250313e-16,6.832881415630288e-07,-0.1673698310255386,-0.16737051431367994,4.183999593752992e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,195328.66625361328,2.34375,-0.17059010092484353,-0.17059010092484372,-1.942890293094024e-16,1.2659087043073381e-06,-0.17058883501613942,-0.17059010092484353,7.751578261601816e-06,1.0,False
anticyclonic,0.5,0.5057600140571594,200537.43068704297,2.40625,-0.17735672212374143,-0.17735672212374162,-1.942890293094024e-16,1.866212442013975e-06,-0.1773548559112996,-0.17735672212374143,1.1427436866358953e-05,1.0,False
anticyclonic,0.5,0.5057600140571594,205746.19512047266,2.46875,-0.18239010540733042,-0.18239010540733064,-2.220446049250313e-16,2.361265727086705e-06,-0.18238774414160355,-0.18239010540733042,1.4458812091007604e-05,1.0,False
anticyclonic,0.5,1.5558552742004395,2604.3822167148437,0.03125,1.565538312254254e-06,1.565538312254254e-06,0.0,4.6681622329966104e-08,1.6122199345842201e-06,1.565538312254254e-06,2.5432959051186883e-08,1.0,False
anticyclonic,0.5,1.5558552742004395,7813.146650144531,0.09375,0.010319911615888843,0.010319911615888843,0.0,1.8872113260149386e-07,0.010320100337021444,0.010319911615888843,1.0281855252631894e-07,1.0,False
anticyclonic,0.5,1.5558552742004395,13021.911083574218,0.15625,0.020820601259005266,0.020820601259005266,0.0,4.5741195741062825e-07,0.020821058670962678,0.020820601259005266,2.492059830337133e-07,1.0,False
anticyclonic,0.5,1.5558552742004395,18230.675517003907,0.21875,0.03156079745910451,0.03156079745910452,6.938893903907228e-18,8.05254474089654e-07,0.03156160271357861,0.03156079745910451,4.387166307234479e-07,0.0,True
anticyclonic,0.5,1.5558552742004395,23439.439950433592,0.28125,0.04221041645480328,0.04221041645480328,0.0,1.2656907386854623e-06,0.04221168214554197,0.04221041645480328,6.895703088662817e-07,0.0,True
anticyclonic,0.5,1.5558552742004395,28648.20438386328,0.34375,0.052562211988455024,0.05256221198845504,1.3877787807814457e-17,1.9637727883917016e-06,0.05256417576124343,0.052562211988455024,1.069897540406186e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,33856.96881729297,0.40625,0.0621802279218973,0.06218022792189731,1.3877787807814457e-17,2.6780597248777127e-06,0.06218290598162219,0.0621802279218973,1.459053475862717e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,39065.73325072265,0.46874999999999994,0.07063885861400701,0.07063885861400702,1.3877787807814457e-17,3.2925748360641062e-06,0.0706421511888431,0.07063885861400701,1.7938519871198224e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,44274.497684152346,0.53125,0.07765346710986878,0.07765346710986881,2.7755575615628914e-17,3.614317090636094e-06,0.07765708142695944,0.07765346710986878,1.969142758458614e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,49483.26211758203,0.59375,0.08233124243937477,0.08233124243937479,1.3877787807814457e-17,3.894344186187758e-06,0.08233513678356097,0.08233124243937477,2.1217063862615943e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,54692.02655101172,0.65625,0.08478783297234666,0.08478783297234668,2.7755575615628914e-17,4.390570874247991e-06,0.08479222354322093,0.08478783297234666,2.3920593090528096e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,59900.7909844414,0.71875,0.08533127130262604,0.08533127130262606,2.7755575615628914e-17,5.066907329423031e-06,0.08533633820995548,0.08533127130262604,2.760539162809944e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,65109.555417871095,0.78125,0.08389159547917223,0.08389159547917228,5.551115123125783e-17,5.6849938415744635e-06,0.08389728047301385,0.08389159547917223,3.0972834353745115e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,70318.31985130078,0.84375,0.07962972243589006,0.0796297224358901,4.163336342344337e-17,6.2809734144827774e-06,0.07963600340930459,0.07962972243589006,3.4219834632780194e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,75527.08428473047,0.9062500000000001,0.07144399758745319,0.07144399758745322,2.7755575615628914e-17,7.2621367206595326e-06,0.07145125972417388,0.07144399758745319,3.95653828256291e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,80735.84871816015,0.96875,0.06034731940752878,0.06034731940752882,4.163336342344337e-17,8.421562146279419e-06,0.0603557409696751,0.06034731940752878,4.588213402254855e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,85944.61315158985,1.03125,0.046206659489457264,0.04620665948945728,1.3877787807814457e-17,9.699033962318982e-06,0.0462163585234196,0.046206659489457264,5.284202246788295e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,91153.37758501952,1.09375,0.029720312706438053,0.029720312706438063,1.0408340855860843e-17,1.1007779029967215e-05,0.02973132048546803,0.029720312706438053,5.997229302246341e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,96362.14201844922,1.15625,0.00557135451989041,0.005571354519890408,-1.734723475976807e-18,1.2268308163785605e-05,0.005583622828054194,0.00557135451989041,6.6839874790857035e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,101570.90645187891,1.21875,-0.013858839537700927,-0.013858839537700948,-2.0816681711721685e-17,1.0906020994868538e-05,-0.013847933516706079,-0.013858839537700927,5.941789756433201e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,106779.67088530859,1.28125,-0.02880266165099264,-0.028802661650992677,-3.8163916471489756e-17,8.704232729564392e-06,-0.028793957418263114,-0.02880266165099264,4.742217248111919e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,111988.43531873828,1.34375,-0.04298953017104602,-0.042989530171046064,-4.163336342344337e-17,5.880900363107841e-06,-0.042983649270682954,-0.04298953017104602,3.2040167126543903e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,117197.19975216797,1.40625,-0.05719131770432225,-0.05719131770432232,-6.938893903907228e-17,2.164007965047173e-06,-0.05718915369635728,-0.05719131770432225,1.1789891442174084e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,122405.96418559765,1.46875,-0.07165164932531785,-0.07165164932531794,-8.326672684688674e-17,-1.5695656643343247e-06,-0.07165321889098226,-0.07165164932531785,-8.551266489198042e-07,0.0,True
anticyclonic,0.5,1.5558552742004395,127614.72861902734,1.53125,-0.08695918160350675,-0.08695918160350688,-1.249000902703301e-16,-5.350996323115999e-06,-0.08696453259983,-0.08695918160350675,-2.915315783305588e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,132823.49305245702,1.59375,-0.10164479291139465,-0.10164479291139476,-1.1102230246251565e-16,-9.023772278322523e-06,-0.10165381668367308,-0.10164479291139465,-4.916307947045994e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,138032.25748588672,1.65625,-0.11689690846887962,-0.11689690846887985,-2.220446049250313e-16,-1.165049191864514e-05,-0.11690855896079849,-0.11689690846887962,-6.347390452685252e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,143241.0219193164,1.71875,-0.13071347637278224,-0.13071347637278247,-2.220446049250313e-16,-1.3840300646698566e-05,-0.13072731667342916,-0.13071347637278224,-7.5404363009389765e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,148449.7863527461,1.7812500000000002,-0.14374211096079184,-0.14374211096079198,-1.3877787807814457e-16,-1.5860962089573435e-05,-0.14375797192288156,-0.14374211096079184,-8.641327768885224e-06,0.0,True
